발생일,위도,경도,ADDRESS,CODE
2022-12-31,37.66822174508715,126.88542018078458,경기도 고양시 덕양구 신원동,4128110300
2022-12-31,37.49314166666667,126.9911716666667,서울특별시 서초구 방배동,1165010100
2022-12-31,37.49314166666667,126.9911716666667,서울특별시 서초구 방배동,1165010100
2022-12-31,37.56823595944477,126.8417226924543,서울특별시 강서구 가양동,1150010400
2022-12-31,37.50453603059157,126.8875934441253,서울특별시 구로구 구로동,1153010200
2022-12-31,37.5794345722565,126.894733148529,서울특별시 마포구 상암동,1144012700
2022-12-31,37.47577636440337,127.0584665665374,서울특별시 강남구 개포동,1168010300
2022-12-31,37.5688591003418,127.17908477783205,서울특별시 강동구 강일동,1174011000
2022-12-31,37.42257308959961,126.88345336914062,경기도 광명시 일직동,4121010600
2022-12-31,37.5549646,126.8310305,서울특별시 강서구 내발산동,1150010600
2022-12-31,37.52412426968438,126.96309829098628,서울특별시 용산구 한강로3가,1117012800
2022-12-31,37.69023070806427,126.7770425543145,경기도 고양시 일산서구 일산동,4128710100
2022-12-31,37.50014487476915,126.87536371316166,서울특별시 구로구 구로동,1153010200
2022-12-30,37.6058231472708,127.1930452374584,경기도 남양주시 이패동,4136010500
2022-12-30,37.474891662597656,127.11671447753906,서울특별시 강남구 율현동,1168011300
2022-12-30,37.50662043167678,126.90111137093358,서울특별시 영등포구 도림동,1156011800
2022-12-30,37.48334503173828,126.86626434326172,경기도 광명시 철산동,4121010200
2022-12-30,37.6175868,127.0103963,서울특별시 강북구 미아동,1130510100
2022-12-30,37.54170524010664,127.20691069796928,경기도 하남시 신장동,4145010600
2022-12-30,37.47148944585168,126.86809719491404,경기도 광명시 철산동,4121010200
2022-12-30,37.447433213624585,127.13908192047889,경기도 성남시 수정구 태평동,4113110200
2022-12-31,37.47693455664383,126.93746371003849,서울특별시 관악구 신림동,1162010200
2022-12-31,37.61431411205138,127.096386386788,서울특별시 중랑구 신내동,1126010600
2022-12-31,37.61374508073055,127.09809590261284,서울특별시 중랑구 신내동,1126010600
2022-12-31,37.50658350837552,126.7423255178781,경기도 부천시 상동,4119010900
2022-12-31,37.51027931309181,127.1598542508915,경기도 하남시 감이동,4145011500
2022-12-30,37.51632344273175,127.01976105927368,서울특별시 강남구 신사동,1168010700
2022-12-30,37.493066311321385,127.0301016736816,서울특별시 강남구 역삼동,1168010100
2022-12-30,37.58013165977597,126.87589561261596,경기도 고양시 덕양구 덕은동,4128113100
2022-12-30,37.58014070836955,126.8759323910601,경기도 고양시 덕양구 덕은동,4128113100
2022-12-30,37.50365023558289,126.94846679352386,서울특별시 동작구 상도1동,1159010300
2022-12-30,37.65695794195916,126.77250417823478,경기도 고양시 일산동구 장항동,4128510400
2022-12-30,37.51257648,127.05354632,서울특별시 강남구 삼성동,1168010500
2022-12-30,37.47880288300659,127.056087907702,서울특별시 강남구 개포동,1168010300
2022-12-30,37.56681786029883,127.02982571204186,서울특별시 성동구 홍익동,1120010300
2022-12-30,37.46897052887244,127.0396017392867,서울특별시 서초구 양재동,1165010200
2022-12-30,37.66090377026531,127.07142261442884,서울특별시 노원구 상계동,NaN
2022-12-29,37.5028950399769,126.85003741687778,서울특별시 구로구 고척동,1153010600
2022-12-29,37.60428030400704,127.13454625199196,경기도 구리시 인창동,4131010300
2022-12-29,37.6484384133616,126.92108791836958,경기도 고양시 덕양구 지축동,4128110900
2022-12-29,37.47579956054688,127.05841064453124,서울특별시 강남구 개포동,1168010300
2022-12-29,37.644523283255005,126.89217577521836,경기도 고양시 덕양구 동산동,4128111200
2022-12-29,37.64572166666667,126.89579666666668,경기도 고양시 덕양구 동산동,4128111200
2022-12-29,37.5323817,126.8951263,서울특별시 영등포구 양평동3가,1156012700
2022-12-29,37.4861077506318,127.11973970624322,서울특별시 송파구 문정동,1171010800
2022-12-30,37.46228123179049,126.84585723409282,경기도 광명시 광명동,4121010100
2022-12-30,37.605526467967664,126.91127493322723,서울특별시 은평구 역촌동,1138010800
2022-12-30,37.586520852220026,126.87699739548276,경기도 고양시 덕양구 덕은동,4128113100
2022-12-30,37.5721299261165,126.96030351635,서울특별시 서대문구 현저동,1141010900
2022-12-30,37.5345654872282,126.740457364114,인천광역시 계양구 계산동,2824510200
2022-12-28,37.53766668847828,127.13329218089116,서울특별시 강동구 천호동,1174010900
2022-12-28,37.4348086980801,126.80296559030344,경기도 시흥시 은행동,4139010600
2022-12-28,37.50473107488687,127.02477384449934,서울특별시 강남구 논현동,1168010800
2022-12-28,37.5241926694976,127.04723439980656,서울특별시 강남구 청담동,1168010400
2022-12-28,37.436385479610536,126.80162248191768,경기도 시흥시 은행동,4139010600
2022-12-28,37.62986588930939,127.14789497394683,경기도 남양주시 다산동,4136011200
2022-12-28,37.422114414134256,126.75097517797452,인천광역시 남동구 서창동,2820010500
2022-12-29,37.52700745596542,126.92864867428892,서울특별시 영등포구 여의도동,1156011000
2022-12-29,37.46961050059383,127.0388362050328,서울특별시 서초구 양재동,1165010200
2022-12-29,37.51655352920143,126.90054965959476,서울특별시 영등포구 문래동3가,1156012100
2022-12-29,37.41407331146294,127.1226042689149,경기도 성남시 분당구 야탑동,4113510700
2022-12-29,37.57595891262904,126.97203851490578,서울특별시 종로구 내자동,1111011400
2022-12-29,37.5794345722565,126.894733148529,서울특별시 마포구 상암동,1144012700
2022-12-29,37.50635510972954,126.92291724133004,서울특별시 동작구 대방동,1159010800
2022-12-29,37.5794345722565,126.894733148529,서울특별시 마포구 상암동,1144012700
